sample_id	class_label	predicted_label_model1	predicted_label_model2
sample_001	case	case	case
sample_002	case	case	case
sample_003	case	case	case
sample_004	case	case	case
sample_005	case	case	case
sample_006	case	case	case
sample_007	case	case	control
sample_008	case	case	control
sample_009	case	case	control
sample_010	case	case	control
sample_011	case	case	control
sample_012	case	case	control
sample_013	case	case	control
sample_014	case	case	control
sample_015	case	case	control
sample_016	case	case	control
sample_017	case	case	control
sample_018	case	case	control
sample_019	case	case	control
sample_020	case	case	control
sample_021	case	case	case
sample_022	case	case	case
sample_023	case	case	case
sample_024	case	case	case
sample_025	case	case	case
sample_026	case	case	case
sample_027	case	case	case
sample_028	case	case	case
sample_029	case	case	case
sample_030	case	case	case
sample_031	case	case	case
sample_032	case	case	case
sample_033	case	case	case
sample_034	case	case	case
sample_035	case	case	case
sample_036	case	case	case
sample_037	case	case	case
sample_038	case	case	case
sample_039	case	case	case
sample_040	case	case	case
sample_041	case	case	case
sample_042	case	case	case
sample_043	case	case	case
sample_044	case	case	case
sample_045	case	case	case
sample_046	case	case	case
sample_047	case	case	case
sample_048	case	case	case
sample_049	case	case	case
sample_050	case	case	case
sample_051	case	case	case
sample_052	case	case	case
sample_053	case	case	case
sample_054	case	case	case
sample_055	case	case	case
sample_056	case	case	case
sample_057	case	case	case
sample_058	case	case	case
sample_059	case	case	case
sample_060	case	case	case
sample_061	case	case	case
sample_062	case	case	case
sample_063	case	case	case
sample_064	case	case	case
sample_065	case	case	case
sample_066	case	case	case
sample_067	case	case	case
sample_068	case	case	case
sample_069	case	case	case
sample_070	case	case	case
sample_071	case	case	case
sample_072	case	case	case
sample_073	case	case	case
sample_074	case	case	case
sample_075	case	case	case
sample_076	case	case	case
sample_077	case	case	case
sample_078	case	case	case
sample_079	case	case	case
sample_080	case	case	case
sample_081	case	case	case
sample_082	case	case	case
sample_083	case	case	case
sample_084	case	case	case
sample_085	case	case	case
sample_086	control	case	case
sample_087	control	case	case
sample_088	control	case	control
sample_089	control	case	control
sample_090	control	case	control
sample_091	control	case	control
sample_092	control	case	control
sample_093	control	case	control
sample_094	control	case	control
sample_095	control	case	control
sample_096	control	case	control
sample_097	control	case	control
sample_098	control	case	control
sample_099	control	case	control
sample_100	control	case	control
sample_101	case	case	case
sample_102	case	case	case
sample_103	case	case	case
sample_104	case	case	case
sample_105	case	case	case
sample_106	case	case	case
sample_107	case	case	case
sample_108	case	case	case
sample_109	case	case	case
sample_110	case	case	case
sample_111	case	case	case
sample_112	case	case	case
sample_113	case	case	case
sample_114	case	case	case
sample_115	case	case	case
sample_116	case	case	case
sample_117	case	case	case
sample_118	case	case	case
sample_119	case	case	case
sample_120	case	case	case
sample_121	case	case	case
sample_122	case	case	control
sample_123	case	case	control
sample_124	case	case	control
sample_125	case	case	control
sample_126	case	case	control
sample_127	case	case	control
sample_128	case	case	control
sample_129	case	case	control
sample_130	case	case	control
sample_131	case	case	control
sample_132	case	case	control
sample_133	case	case	control
sample_134	case	case	control
sample_135	case	case	control
sample_136	case	case	case
sample_137	case	case	case
sample_138	case	case	case
sample_139	case	case	case
sample_140	case	case	case
sample_141	case	case	case
sample_142	case	case	case
sample_143	case	case	case
sample_144	case	case	case
sample_145	case	case	case
sample_146	case	case	case
sample_147	case	case	case
sample_148	case	case	case
sample_149	case	case	case
sample_150	case	case	case
sample_151	case	case	case
sample_152	case	case	case
sample_153	case	case	case
sample_154	case	case	case
sample_155	case	case	case
sample_156	case	case	case
sample_157	case	case	case
sample_158	case	case	case
sample_159	case	case	case
sample_160	case	case	case
sample_161	case	case	case
sample_162	case	case	case
sample_163	case	case	case
sample_164	case	case	case
sample_165	case	case	case
sample_166	case	case	case
sample_167	case	case	case
sample_168	case	case	case
sample_169	case	case	case
sample_170	case	case	case
sample_171	case	case	case
sample_172	case	case	case
sample_173	case	case	case
sample_174	case	case	case
sample_175	case	case	case
sample_176	case	case	case
sample_177	case	case	case
sample_178	case	case	case
sample_179	case	case	case
sample_180	case	case	case
sample_181	case	case	case
sample_182	case	case	case
sample_183	case	case	case
sample_184	case	case	case
sample_185	case	case	case
sample_186	control	case	case
sample_187	control	case	case
sample_188	control	case	case
sample_189	control	case	case
sample_190	control	case	case
sample_191	control	case	case
sample_192	control	case	control
sample_193	control	case	control
sample_194	control	case	control
sample_195	control	case	control
sample_196	control	case	control
sample_197	control	case	control
sample_198	control	case	control
sample_199	control	case	control
sample_200	control	case	control
