Sample	command
13_AGTCAA_L001_fastp	fastp --in1 fastq_raw/13_AGTCAA_L001_R1_combined.fastq.gz --in2 fastq_raw/13_AGTCAA_L001_R2_combined.fastq.gz --out1 fastq_trimmed/13_AGTCAA_L001_R1_combined.fastq.gz --out2 fastq_trimmed/13_AGTCAA_L001_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/13_AGTCAA_L001_fastp.html --json QC/fastp_reports/13_AGTCAA_L001_fastp.json --report_title 13_AGTCAA_L001 report 
17_ATCACG_L002_fastp	fastp --in1 fastq_raw/17_ATCACG_L002_R1_combined.fastq.gz --in2 fastq_raw/17_ATCACG_L002_R2_combined.fastq.gz --out1 fastq_trimmed/17_ATCACG_L002_R1_combined.fastq.gz --out2 fastq_trimmed/17_ATCACG_L002_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/17_ATCACG_L002_fastp.html --json QC/fastp_reports/17_ATCACG_L002_fastp.json --report_title 17_ATCACG_L002 report 
1_ATCACG_L001_fastp	fastp --in1 fastq_raw/1_ATCACG_L001_R1_combined.fastq.gz --in2 fastq_raw/1_ATCACG_L001_R2_combined.fastq.gz --out1 fastq_trimmed/1_ATCACG_L001_R1_combined.fastq.gz --out2 fastq_trimmed/1_ATCACG_L001_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/1_ATCACG_L001_fastp.html --json QC/fastp_reports/1_ATCACG_L001_fastp.json --report_title 1_ATCACG_L001 report 
21_ACAGTG_L002_fastp	fastp --in1 fastq_raw/21_ACAGTG_L002_R1_combined.fastq.gz --in2 fastq_raw/21_ACAGTG_L002_R2_combined.fastq.gz --out1 fastq_trimmed/21_ACAGTG_L002_R1_combined.fastq.gz --out2 fastq_trimmed/21_ACAGTG_L002_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/21_ACAGTG_L002_fastp.html --json QC/fastp_reports/21_ACAGTG_L002_fastp.json --report_title 21_ACAGTG_L002 report 
25_GATCAG_L002_fastp	fastp --in1 fastq_raw/25_GATCAG_L002_R1_combined.fastq.gz --in2 fastq_raw/25_GATCAG_L002_R2_combined.fastq.gz --out1 fastq_trimmed/25_GATCAG_L002_R1_combined.fastq.gz --out2 fastq_trimmed/25_GATCAG_L002_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/25_GATCAG_L002_fastp.html --json QC/fastp_reports/25_GATCAG_L002_fastp.json --report_title 25_GATCAG_L002 report 
29_AGTCAA_L002_fastp	fastp --in1 fastq_raw/29_AGTCAA_L002_R1_combined.fastq.gz --in2 fastq_raw/29_AGTCAA_L002_R2_combined.fastq.gz --out1 fastq_trimmed/29_AGTCAA_L002_R1_combined.fastq.gz --out2 fastq_trimmed/29_AGTCAA_L002_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/29_AGTCAA_L002_fastp.html --json QC/fastp_reports/29_AGTCAA_L002_fastp.json --report_title 29_AGTCAA_L002 report 
33_GTCCGC_L002_fastp	fastp --in1 fastq_raw/33_GTCCGC_L002_R1_combined.fastq.gz --in2 fastq_raw/33_GTCCGC_L002_R2_combined.fastq.gz --out1 fastq_trimmed/33_GTCCGC_L002_R1_combined.fastq.gz --out2 fastq_trimmed/33_GTCCGC_L002_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/33_GTCCGC_L002_fastp.html --json QC/fastp_reports/33_GTCCGC_L002_fastp.json --report_title 33_GTCCGC_L002 report 
37_CGTACG_L002_fastp	fastp --in1 fastq_raw/37_CGTACG_L002_R1_combined.fastq.gz --in2 fastq_raw/37_CGTACG_L002_R2_combined.fastq.gz --out1 fastq_trimmed/37_CGTACG_L002_R1_combined.fastq.gz --out2 fastq_trimmed/37_CGTACG_L002_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/37_CGTACG_L002_fastp.html --json QC/fastp_reports/37_CGTACG_L002_fastp.json --report_title 37_CGTACG_L002 report 
41_GTCCGC_L001_fastp	fastp --in1 fastq_raw/41_GTCCGC_L001_R1_combined.fastq.gz --in2 fastq_raw/41_GTCCGC_L001_R2_combined.fastq.gz --out1 fastq_trimmed/41_GTCCGC_L001_R1_combined.fastq.gz --out2 fastq_trimmed/41_GTCCGC_L001_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/41_GTCCGC_L001_fastp.html --json QC/fastp_reports/41_GTCCGC_L001_fastp.json --report_title 41_GTCCGC_L001 report 
45_CGTACG_L001_fastp	fastp --in1 fastq_raw/45_CGTACG_L001_R1_combined.fastq.gz --in2 fastq_raw/45_CGTACG_L001_R2_combined.fastq.gz --out1 fastq_trimmed/45_CGTACG_L001_R1_combined.fastq.gz --out2 fastq_trimmed/45_CGTACG_L001_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/45_CGTACG_L001_fastp.html --json QC/fastp_reports/45_CGTACG_L001_fastp.json --report_title 45_CGTACG_L001 report 
5_ACAGTG_L001_fastp	fastp --in1 fastq_raw/5_ACAGTG_L001_R1_combined.fastq.gz --in2 fastq_raw/5_ACAGTG_L001_R2_combined.fastq.gz --out1 fastq_trimmed/5_ACAGTG_L001_R1_combined.fastq.gz --out2 fastq_trimmed/5_ACAGTG_L001_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/5_ACAGTG_L001_fastp.html --json QC/fastp_reports/5_ACAGTG_L001_fastp.json --report_title 5_ACAGTG_L001 report 
9_GATCAG_L001_fastp	fastp --in1 fastq_raw/9_GATCAG_L001_R1_combined.fastq.gz --in2 fastq_raw/9_GATCAG_L001_R2_combined.fastq.gz --out1 fastq_trimmed/9_GATCAG_L001_R1_combined.fastq.gz --out2 fastq_trimmed/9_GATCAG_L001_R2_combined.fastq.gz --detect_adapter_for_pe --html QC/fastp_reports/9_GATCAG_L001_fastp.html --json QC/fastp_reports/9_GATCAG_L001_fastp.json --report_title 9_GATCAG_L001 report 
