Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
13_AGTCAA_L001	1.9.0	none	vb	[]	1	['ISR']	1001	165.33588306059522	61.35047722997199	True	True	4096	mapping	False	177456	0	430136	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	24907904	20890018	0	157611	808386	27490615	83.86903209519356	quant	Sat Jul 02 22:21:45 2022	Sat Jul 02 22:55:55 2022
17_ATCACG_L002	1.9.0	none	vb	[]	1	['ISR']	1001	165.91428548904295	64.69361235218528	True	True	4096	mapping	False	177456	0	384671	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	18977234	15861479	0	118230	610685	19699848	83.58161679410182	quant	Sat Jul 02 23:07:46 2022	Sat Jul 02 23:38:05 2022
1_ATCACG_L001	1.9.0	none	vb	[]	1	['ISR']	1001	166.7049004241746	65.10591513233376	True	True	4096	mapping	False	177456	0	333010	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	17934922	14935800	0	81396	540003	14705932	83.27775275521131	quant	Sun Jul 03 00:23:32 2022	Sun Jul 03 00:48:58 2022
21_ACAGTG_L002	1.9.0	none	vb	[]	1	['ISR']	1001	166.96105699672552	61.57766797916492	True	True	4096	mapping	False	177456	0	434105	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23921563	19878496	0	166860	823875	25178392	83.09865036828906	quant	Sun Jul 03 03:33:13 2022	Sun Jul 03 04:07:08 2022
25_GATCAG_L002	1.9.0	none	vb	[]	1	['ISR']	1001	162.15457100341305	61.05425605510831	True	True	4096	mapping	False	177456	0	424229	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23030977	19634487	0	162553	677673	22300111	85.25251447213898	quant	Sun Jul 03 05:12:26 2022	Sun Jul 03 05:44:49 2022
29_AGTCAA_L002	1.9.0	none	vb	[]	1	['ISR']	1001	160.05624997143485	60.510975680848674	True	True	4096	mapping	False	177456	0	437240	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23372539	19977973	0	162448	676500	23118749	85.47626340467332	quant	Sun Jul 03 03:00:08 2022	Sun Jul 03 03:33:03 2022
33_GTCCGC_L002	1.9.0	none	vb	[]	1	['ISR']	1001	164.60173004334513	63.13344477229154	True	True	4096	mapping	False	177456	0	416074	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	20921118	17959566	0	143851	601302	19667194	85.84419819246753	quant	Sun Jul 03 04:11:49 2022	Sun Jul 03 04:41:49 2022
37_CGTACG_L002	1.9.0	none	vb	[]	1	['ISR']	1001	160.7590008566425	60.31178139213902	True	True	4096	mapping	False	177456	0	436301	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23585818	20346015	0	157201	658662	21990693	86.26376664146225	quant	Sun Jul 03 01:50:40 2022	Sun Jul 03 02:23:14 2022
41_GTCCGC_L001	1.9.0	none	vb	[]	1	['ISR']	1001	162.50152122958227	60.79347400885733	True	True	4096	mapping	False	177456	0	422648	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	21945989	18859212	0	156611	610487	20955544	85.93466441635417	quant	Sun Jul 03 04:41:57 2022	Sun Jul 03 05:12:22 2022
45_CGTACG_L001	1.9.0	none	vb	[]	1	['ISR']	1001	169.09046110184792	60.985625818744296	True	True	4096	mapping	False	177456	0	407266	False	['range_factorized', 'gzipped']	[555, 739, 1307, 2574, 109224]	c1756fb43024b82a5b8e36e241ca4a80c929a709068f34268abe455a7ce60fa4	468baf476fd9b5ee4c8649e377983cb1bbd5be4da225c1eb70b52ebf532f84a2	70845f3ebeddff820cec258679907bc2cd2e2e9d19546ef6da1284dc3d82a634a2bf4c544e4ede2b5ba54524fcb798d4f5b01cc53866adbd58322e96e7e78621	56cc642ffe99935d82f0ac233a52f4924cf4ccdbda6916535943be2025f24ac7ec4ba01b117fd8576beaeed3ba023f2aeb55c2d79b90631b0aaafac2f9aa60e0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	22889581	19892981	0	153734	618299	18967711	86.90845411281228	quant	Sat Jul 02 23:40:54 2022	Sun Jul 03 00:11:30 2022
