Module	Section	Sample Name	Source
Salmon	all_sections	13_AGTCAA_L001	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/13_AGTCAA_L001/libParams/flenDist.txt
Salmon	all_sections	17_ATCACG_L002	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/17_ATCACG_L002/libParams/flenDist.txt
Salmon	all_sections	1_ATCACG_L001	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/1_ATCACG_L001/libParams/flenDist.txt
Salmon	all_sections	21_ACAGTG_L002	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/21_ACAGTG_L002/libParams/flenDist.txt
Salmon	all_sections	25_GATCAG_L002	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/25_GATCAG_L002/libParams/flenDist.txt
Salmon	all_sections	29_AGTCAA_L002	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/29_AGTCAA_L002/libParams/flenDist.txt
Salmon	all_sections	33_GTCCGC_L002	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/33_GTCCGC_L002/libParams/flenDist.txt
Salmon	all_sections	37_CGTACG_L002	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/37_CGTACG_L002/libParams/flenDist.txt
Salmon	all_sections	41_GTCCGC_L001	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/41_GTCCGC_L001/libParams/flenDist.txt
Salmon	all_sections	45_CGTACG_L001	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/45_CGTACG_L001/libParams/flenDist.txt
Salmon	all_sections	5_ACAGTG_L001	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/5_ACAGTG_L001/libParams/flenDist.txt
Salmon	all_sections	9_GATCAG_L001	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/salmon/9_GATCAG_L001/libParams/flenDist.txt
fastp	all_sections	13_AGTCAA_L001_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/13_AGTCAA_L001_fastp.json
fastp	all_sections	17_ATCACG_L002_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/17_ATCACG_L002_fastp.json
fastp	all_sections	1_ATCACG_L001_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/1_ATCACG_L001_fastp.json
fastp	all_sections	21_ACAGTG_L002_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/21_ACAGTG_L002_fastp.json
fastp	all_sections	25_GATCAG_L002_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/25_GATCAG_L002_fastp.json
fastp	all_sections	29_AGTCAA_L002_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/29_AGTCAA_L002_fastp.json
fastp	all_sections	33_GTCCGC_L002_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/33_GTCCGC_L002_fastp.json
fastp	all_sections	37_CGTACG_L002_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/37_CGTACG_L002_fastp.json
fastp	all_sections	41_GTCCGC_L001_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/41_GTCCGC_L001_fastp.json
fastp	all_sections	45_CGTACG_L001_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/45_CGTACG_L001_fastp.json
fastp	all_sections	5_ACAGTG_L001_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/5_ACAGTG_L001_fastp.json
fastp	all_sections	9_GATCAG_L001_fastp	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastp_reports/9_GATCAG_L001_fastp.json
FastQC	all_sections	13_AGTCAA_L001_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/13_AGTCAA_L001_R1_combined_fastqc.zip
FastQC	all_sections	13_AGTCAA_L001_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/13_AGTCAA_L001_R2_combined_fastqc.zip
FastQC	all_sections	17_ATCACG_L002_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/17_ATCACG_L002_R1_combined_fastqc.zip
FastQC	all_sections	17_ATCACG_L002_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/17_ATCACG_L002_R2_combined_fastqc.zip
FastQC	all_sections	1_ATCACG_L001_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/1_ATCACG_L001_R1_combined_fastqc.zip
FastQC	all_sections	1_ATCACG_L001_R2_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/1_ATCACG_L001_R2_combined_fastqc.zip
FastQC	all_sections	21_ACAGTG_L002_R1_combined	/home/rstudio/2021-mdibl-fair/setup/bulk-rnaseq/QC/fastqc_reports/21_ACAGTG_L002_R1_combined_fastqc.zip
